Catalyst,MTW,MFS,Cu,pH,Catalyst dosage (g/L),[C0] MO (mg/L),"[C0] 2,4-DCP (mg/L)",H2O2 (mM),Time (min),DE%,XGB,catb,ET,gbr,lgb,RF
MTW,1,0,0,5.5,0.2,0,40.0,5.0,0,0.0,-0.1099999994039535,-0.35,0.0,-1.24,-0.01,0.0
MTW,1,0,0,5.5,0.2,0,40.0,5.0,30,12.95,13.029999732971191,12.75,12.77,12.86,11.44,12.95
MTW,1,0,0,5.5,0.2,0,40.0,5.0,60,36.68,33.970001220703125,33.63,34.29,33.65,31.72,34.05
MTW,1,0,0,5.5,0.2,0,40.0,5.0,90,55.21,44.630001068115234,45.27,42.68,45.24,40.74,43.56
MTW,1,0,0,5.5,0.2,0,40.0,5.0,120,68.47,62.43000030517578,60.91,61.66,60.07,55.93,60.48
MTW,1,0,0,5.5,0.2,0,40.0,5.0,150,79.87,72.93000030517578,72.55,72.26,73.69,66.65,72.33
MTW,1,0,0,5.5,0.2,0,40.0,5.0,180,85.24,77.47000122070312,77.22,77.04,77.39,76.93,77.21
MTW,1,0,0,5.5,1.0,0,40.0,5.0,0,0.0,-0.1899999976158142,-0.4,0.0,-0.29,-0.12,0.0
MTW,1,0,0,5.5,1.0,0,40.0,5.0,30,14.85,13.630000114440918,14.44,14.36,16.07,14.64,13.77
MTW,1,0,0,5.5,1.0,0,40.0,5.0,60,24.88,25.959999084472656,25.93,24.88,27.68,24.95,28.49
MTW,1,0,0,5.5,1.0,0,40.0,5.0,90,32.94,31.979999542236328,32.75,32.94,32.42,24.36,35.3
MTW,1,0,0,5.5,1.0,0,40.0,5.0,120,44.82,45.09999847412109,45.46,44.82,44.57,30.88,46.72
MTW,1,0,0,5.5,1.0,0,40.0,5.0,150,58.26,58.27999877929688,57.43,58.26,57.33,57.75,60.68
MTW,1,0,0,5.5,1.0,0,40.0,5.0,180,62.13,53.29999923706055,58.91,56.7,56.21,19.81,64.62
MTW,1,0,0,5.5,2.0,0,40.0,5.0,0,0.0,0.0399999991059303,0.19,0.0,-0.59,-0.12,0.0
MTW,1,0,0,5.5,2.0,0,40.0,5.0,30,14.46,14.5600004196167,14.49,14.46,15.19,14.64,14.97
MTW,1,0,0,5.5,2.0,0,40.0,5.0,60,15.1,21.739999771118164,18.08,24.32,17.58,24.95,23.06
MTW,1,0,0,5.5,2.0,0,40.0,5.0,90,15.93,15.789999961853027,15.68,15.93,15.4,24.36,20.48
MTW,1,0,0,5.5,2.0,0,40.0,5.0,120,16.79,16.81999969482422,16.49,16.79,17.38,30.88,23.32
MTW,1,0,0,5.5,2.0,0,40.0,5.0,150,18.94,26.520000457763672,23.6,26.22,25.13,57.75,35.51
