iter	RMSE
0	30.07634004
1	27.98466763
2	26.06279703
3	24.52840321
4	23.18045674
5	21.95179463
6	20.73478617
7	19.56125284
8	18.79155176
9	17.67796361
10	17.02305546
11	16.16727577
12	15.35154554
13	14.6740679
14	13.99743601
15	13.24912456
16	12.66239058
17	12.08257406
18	11.67108744
19	11.21739003
20	10.76978811
21	10.44135407
22	10.03426196
23	9.670544986
24	9.431407173
25	9.180441703
26	9.000089725
27	8.733161608
28	8.602609901
29	8.351181383
30	8.179072255
31	7.988082293
32	7.780485883
33	7.588522001
34	7.484803296
35	7.380874912
36	7.284227902
37	7.15424958
38	7.038182317
39	6.941170278
40	6.807721271
41	6.70936491
42	6.624676733
43	6.562060725
44	6.482440204
45	6.383914549
46	6.293030136
47	6.232437775
48	6.164929329
49	6.067314997
50	5.970131221
51	5.901891661
52	5.872274799
53	5.769720769
54	5.692731715
55	5.645885086
56	5.558062715
57	5.497403686
58	5.454039
59	5.404456055
60	5.350639317
61	5.293514695
62	5.248048115
63	5.198114073
64	5.147122901
65	5.119338638
66	5.076949007
67	5.037637401
68	4.973881622
69	4.930461107
70	4.884869596
71	4.838673895
72	4.795022392
73	4.766494833
74	4.717857335
75	4.690615434
76	4.668538314
77	4.645307582
78	4.604334252
79	4.563154331
80	4.533390057
81	4.502023101
82	4.471268801
83	4.443672453
84	4.393817635
85	4.355943326
86	4.330239247
87	4.309206349
88	4.283953925
89	4.246720153
90	4.224048132
91	4.190172524
92	4.164363515
93	4.149052525
94	4.127904185
95	4.103869036
96	4.081262847
97	4.063716359
98	4.039941958
99	4.01331266
100	3.991152784
101	3.969216233
102	3.943587205
103	3.906525525
104	3.891351326
105	3.875272955
106	3.85571179
107	3.836372549
108	3.817362938
109	3.797205586
110	3.78041316
111	3.76994607
112	3.752597228
113	3.743182538
114	3.725303514
115	3.702583171
116	3.693351738
117	3.679464525
118	3.66959719
119	3.660721988
120	3.647198456
121	3.621810374
122	3.610983264
123	3.595372638
124	3.582657153
125	3.572376024
126	3.565015343
127	3.558892518
128	3.54348237
129	3.529575823
130	3.521963998
131	3.511491588
132	3.50532837
133	3.485326746
134	3.471346079
135	3.463869381
136	3.449732601
137	3.43627027
138	3.422657134
139	3.400782954
140	3.38941046
141	3.375260789
142	3.364374202
143	3.351191138
144	3.338431297
145	3.326276304
146	3.317486101
147	3.30853993
148	3.286807691
149	3.272888333
150	3.268655978
151	3.254858278
152	3.237074958
153	3.232313711
154	3.216655208
155	3.206690302
156	3.200939353
157	3.191112829
158	3.181715392
159	3.169653946
160	3.164391298
161	3.155452444
162	3.150668494
163	3.145329506
164	3.1404916
165	3.129636207
166	3.115816215
167	3.096364879
168	3.079057508
169	3.075709712
170	3.072022815
171	3.068879954
172	3.063410427
173	3.048068163
174	3.034895761
175	3.026660083
176	3.011414553
177	2.998713576
178	2.995051336
179	2.989149011
180	2.984181319
181	2.980334774
182	2.972727584
183	2.967768273
184	2.960666192
185	2.951907745
186	2.942659716
187	2.933574466
188	2.927911507
189	2.920662708
190	2.915720191
191	2.904698773
192	2.900190831
193	2.895187988
194	2.887883203
195	2.882471489
196	2.875623437
197	2.866053017
198	2.855221239
199	2.850887983
200	2.847367351
201	2.840366452
202	2.836909576
203	2.833204249
204	2.825926041
205	2.823418671
206	2.821325961
207	2.819533234
208	2.807731343
209	2.805705634
210	2.797162312
211	2.790960933
212	2.784795791
213	2.781972549
214	2.780270473
215	2.776607403
216	2.767461408
217	2.763103889
218	2.758588063
219	2.755054416
220	2.748235442
221	2.742512058
222	2.736928512
223	2.72691143
224	2.724474081
225	2.72067211
226	2.711655602
227	2.710013332
228	2.70487043
229	2.698149897
230	2.695019453
231	2.687454963
232	2.669454316
233	2.666718478
234	2.658099544
235	2.648149113
236	2.64516829
237	2.640313704
238	2.637735299
239	2.631911208
240	2.628870725
241	2.624141118
242	2.621476955
243	2.617313786
244	2.613341722
245	2.611504475
246	2.603084204
247	2.600861532
248	2.596359248
249	2.592795699
250	2.591130149
251	2.586852802
252	2.577223898
253	2.57479976
254	2.567969498
255	2.564461167
256	2.561189762
257	2.554830625
258	2.551512279
259	2.546599195
260	2.539299999
261	2.533672503
262	2.532165516
263	2.528385479
264	2.527090761
265	2.524774026
266	2.518110929
267	2.510580925
268	2.507131277
269	2.504036694
270	2.502655922
271	2.497597138
272	2.491420112
273	2.490280719
274	2.4847088
275	2.481926134
276	2.48083301
277	2.477799666
278	2.475050172
279	2.469195305
280	2.465246077
281	2.46082503
282	2.453132358
283	2.45208584
284	2.446849433
285	2.441590443
286	2.43624877
287	2.433950385
288	2.430651361
289	2.426129654
290	2.423626504
291	2.422402426
292	2.418648319
293	2.414563781
294	2.412131257
295	2.410508887
296	2.406931524
297	2.405191753
298	2.402310494
299	2.398186605
300	2.39494927
301	2.390430045
302	2.38956469
303	2.386535506
304	2.385124028
305	2.381052919
306	2.378719396
307	2.376483119
308	2.374297297
309	2.371858787
310	2.369778958
311	2.368018917
312	2.365592828
313	2.364518029
314	2.361353447
315	2.360598316
316	2.359419982
317	2.356174032
318	2.355277552
319	2.347954065
320	2.346383614
321	2.340910336
322	2.339043917
323	2.336016114
324	2.33453606
325	2.333415958
326	2.332818158
327	2.329294899
328	2.326406299
329	2.322390166
330	2.31894018
331	2.315679081
332	2.314284294
333	2.311991959
334	2.304712396
335	2.30147191
336	2.297481552
337	2.296173545
338	2.292427205
339	2.290248663
340	2.288180358
341	2.284640219
342	2.282024923
343	2.276657181
344	2.273923588
345	2.270717607
346	2.266456799
347	2.265034043
348	2.263664515
349	2.26173415
350	2.258682904
351	2.257686906
352	2.253360433
353	2.252068202
354	2.248480422
355	2.2392451
356	2.236499408
357	2.234196742
358	2.232186656
359	2.229139487
360	2.227311889
361	2.22641539
362	2.222997645
363	2.219945097
364	2.218452689
365	2.217232649
366	2.214695654
367	2.212126584
368	2.210517044
369	2.207846405
370	2.206484989
371	2.204117782
372	2.203545204
373	2.200016087
374	2.198659932
375	2.196943483
376	2.195976918
377	2.194789432
378	2.192795737
379	2.189349633
380	2.187767688
381	2.186371467
382	2.182212992
383	2.179507585
384	2.178658052
385	2.177992075
386	2.175373072
387	2.17297341
388	2.165731478
389	2.16475329
390	2.163202995
391	2.161515297
392	2.160903939
393	2.159830787
394	2.156989186
395	2.155099527
396	2.152160954
397	2.150336433
398	2.14973903
399	2.148290074
400	2.147793172
401	2.145635583
402	2.143642682
403	2.140101454
404	2.138935193
405	2.137292715
406	2.13642295
407	2.134299565
408	2.133513775
409	2.131942689
410	2.129235931
411	2.127368454
412	2.123383599
413	2.122966298
414	2.121610591
415	2.120690092
416	2.12001752
417	2.118561953
418	2.117925205
419	2.11680263
420	2.114172535
421	2.112286498
422	2.111393386
423	2.110287166
424	2.109070838
425	2.108740344
426	2.107540942
427	2.105905463
428	2.10491249
429	2.104125908
430	2.103373987
431	2.102023895
432	2.100892691
433	2.100128088
434	2.099114413
435	2.097627163
436	2.092733001
437	2.091482
438	2.089741455
439	2.087034754
440	2.084950692
441	2.084185581
442	2.08321658
443	2.082084153
444	2.081612541
445	2.079542725
446	2.076744237
447	2.073945743
448	2.072106086
449	2.069840979
450	2.067619293
451	2.066310256
452	2.065177494
453	2.064331079
454	2.063257157
455	2.061563642
456	2.060871987
457	2.059596357
458	2.058990639
459	2.057926465
460	2.056231539
461	2.054200629
462	2.052955272
463	2.050960461
464	2.050239152
465	2.048703128
466	2.04785512
467	2.046873565
468	2.044942499
469	2.043947747
470	2.04288471
471	2.03786894
472	2.036666203
473	2.035923086
474	2.034456515
475	2.033142771
476	2.032049508
477	2.031535064
478	2.030048349
479	2.028903732
480	2.028199992
481	2.025738498
482	2.023775924
483	2.022659656
484	2.022002498
485	2.021364181
486	2.020584844
487	2.019964079
488	2.018238224
489	2.017401529
490	2.015742674
491	2.014756457
492	2.013636097
493	2.013105922
494	2.012271212
495	2.011616671
496	2.010820951
497	2.01041042
498	2.009433816
499	2.009244927
500	2.007802246
501	2.006608103
502	2.005541617
503	2.004267451
504	2.003487339
505	2.003312314
506	2.002365247
507	2.001946643
508	2.000632841
509	1.999220717
510	1.998010595
511	1.997407269
512	1.996059589
513	1.994355639
514	1.993770435
515	1.992781858
516	1.991853093
517	1.990578602
518	1.989403296
519	1.988639792
520	1.987198494
521	1.985494183
522	1.983694518
523	1.983423999
524	1.98277132
525	1.982124742
526	1.980623692
527	1.978596849
528	1.976810564
529	1.975774271
530	1.974870896
531	1.973741711
532	1.972750096
533	1.972077623
534	1.971490665
535	1.970926878
536	1.970405594
537	1.969439311
538	1.969030499
539	1.968256382
540	1.967648744
541	1.966654846
542	1.965186486
543	1.963830328
544	1.963031071
545	1.961750891
546	1.961377253
547	1.960965571
548	1.96021578
549	1.959624571
550	1.958004946
551	1.956763994
552	1.956370677
553	1.955019671
554	1.954307856
555	1.953430187
556	1.951733032
557	1.950764215
558	1.949844558
559	1.949063886
560	1.94829474
561	1.947944675
562	1.947189892
563	1.946435315
564	1.945226637
565	1.94482932
566	1.943907685
567	1.943637216
568	1.943155946
569	1.94278936
570	1.94203791
571	1.941609589
572	1.940941936
573	1.940082582
574	1.939379538
575	1.938498111
576	1.938350654
577	1.937988018
578	1.937128243
579	1.936313156
580	1.935590617
581	1.933180654
582	1.932554049
583	1.932002492
584	1.931751403
585	1.930591559
586	1.930376183
587	1.929746697
588	1.929426341
589	1.928480946
590	1.927811474
591	1.927326142
592	1.926643497
593	1.925888301
594	1.925413339
595	1.924186924
596	1.923481378
597	1.922783961
598	1.921786852
599	1.921524726
600	1.920737392
601	1.919916439
602	1.919269906
603	1.918621976
604	1.917679037
605	1.91611388
606	1.915395313
607	1.91480502
608	1.914558037
609	1.914123187
610	1.913739742
611	1.91324008
612	1.912917469
613	1.91236971
614	1.912069436
615	1.911800207
616	1.910770029
617	1.910197076
618	1.90966324
619	1.908983036
620	1.90833357
621	1.908050954
622	1.907234913
623	1.905816184
624	1.904996771
625	1.904507486
626	1.904419136
627	1.903395697
628	1.902911381
629	1.90241691
630	1.902289602
631	1.901733527
632	1.901367952
633	1.89966461
634	1.899269156
635	1.898014173
636	1.897312204
637	1.896969715
