iter	Passed	Remaining
0	49	49462
1	49	24796
2	49	16569
3	50	12461
4	50	10041
5	50	8396
6	50	7218
7	51	6332
8	51	5633
9	51	5091
10	51	4639
11	52	4282
12	52	3965
13	52	3689
14	52	3452
15	52	3244
16	52	3059
17	53	2904
18	53	2757
19	53	2625
20	53	2505
21	53	2395
22	54	2295
23	54	2205
24	54	2122
25	54	2047
26	54	1977
27	55	1911
28	55	1848
29	55	1790
30	55	1735
31	55	1684
32	55	1636
33	55	1590
34	56	1547
35	56	1506
36	56	1469
37	56	1434
38	56	1400
39	57	1368
40	57	1338
41	57	1308
42	57	1280
43	57	1253
44	57	1227
45	57	1202
46	58	1178
47	58	1156
48	58	1137
49	58	1118
50	59	1097
51	59	1078
52	59	1060
53	59	1041
54	59	1024
55	59	1007
56	59	991
57	60	975
58	60	962
59	60	948
60	60	934
61	60	920
62	61	907
63	61	894
64	61	882
65	61	870
66	61	859
67	62	851
68	62	840
69	62	832
70	62	823
71	63	813
72	63	804
73	63	794
74	63	785
75	63	776
76	63	767
77	64	758
78	64	750
79	64	742
80	64	735
81	64	727
82	65	719
83	65	712
84	65	705
85	65	697
86	65	690
87	66	684
88	66	678
89	66	673
90	66	667
91	67	661
92	67	655
93	67	649
94	67	644
95	67	638
96	68	633
97	68	627
98	68	622
99	68	617
100	68	612
101	68	607
102	69	602
103	69	597
104	69	593
105	69	588
106	69	583
107	70	580
108	70	576
109	70	572
110	71	569
111	71	568
112	72	566
113	72	562
114	72	557
115	72	555
116	73	551
117	73	547
118	73	544
119	73	540
120	73	536
121	74	533
122	74	529
123	74	526
124	74	523
125	74	520
126	75	516
127	75	513
128	75	510
129	75	507
130	75	503
131	76	500
132	76	497
133	76	494
134	76	491
135	76	488
136	77	486
137	77	483
138	77	480
139	77	477
140	77	475
141	78	472
142	78	469
143	78	466
144	78	464
145	79	463
146	79	461
147	79	459
148	80	457
149	80	455
150	81	457
151	81	455
152	81	453
153	82	450
154	82	448
155	82	446
156	82	443
157	82	441
158	83	439
159	83	436
160	83	434
161	83	432
162	83	430
163	84	428
164	84	426
165	84	424
166	84	422
167	84	420
168	84	417
169	85	416
170	85	414
171	85	412
172	85	410
173	86	408
174	86	406
175	86	404
176	86	402
177	86	400
178	87	399
179	87	397
180	87	396
181	87	394
182	88	393
183	88	391
184	88	390
185	88	388
186	89	387
187	89	386
188	89	385
189	89	383
190	90	381
191	90	380
192	90	378
193	90	376
194	90	375
195	91	373
196	91	371
197	91	370
198	91	368
199	91	367
200	92	365
201	92	364
202	92	362
203	92	361
204	92	360
205	93	358
206	93	356
207	93	355
208	93	354
209	93	353
210	94	351
211	94	350
212	94	349
213	94	348
214	94	346
215	95	345
216	95	344
217	95	343
218	95	342
219	96	341
220	96	339
221	96	338
222	96	337
223	97	336
224	97	334
225	97	333
226	97	332
227	98	332
228	98	332
229	99	332
230	99	331
231	99	330
232	100	329
233	100	328
234	100	327
235	100	325
236	100	324
237	101	323
238	101	322
239	101	321
240	101	320
241	101	319
242	102	317
243	102	316
244	102	315
245	102	314
246	102	313
247	103	312
248	103	311
249	103	310
250	103	309
251	103	307
252	103	306
253	104	305
254	104	304
255	104	303
256	104	303
257	105	302
258	105	301
259	105	300
260	105	299
261	105	298
262	105	297
263	106	295
264	106	295
265	106	294
266	106	293
267	107	292
268	107	292
269	107	290
270	107	289
271	107	288
272	108	287
273	108	286
274	108	285
275	108	285
276	108	284
277	109	283
278	109	282
279	109	281
280	109	280
281	109	279
282	110	278
283	110	278
284	110	277
285	110	276
286	110	275
287	111	274
288	111	273
289	111	272
290	111	271
291	111	271
292	111	270
293	112	269
294	112	268
295	112	267
296	112	266
297	112	265
298	113	265
299	113	264
300	113	263
301	113	262
302	113	261
303	113	260
304	114	259
305	114	259
306	114	258
307	114	257
308	114	256
309	115	256
310	115	255
311	115	254
312	115	253
313	116	253
314	116	253
315	116	252
316	116	251
317	117	251
318	117	250
319	117	249
320	117	248
321	117	248
322	118	247
323	118	246
324	118	246
325	118	245
326	118	244
327	119	244
328	119	243
329	119	242
330	119	241
331	119	241
332	120	240
333	120	239
334	120	239
335	120	238
336	120	237
337	121	237
338	121	236
339	126	245
340	126	244
341	126	244
342	127	243
343	127	243
344	127	242
345	127	241
346	128	241
347	128	240
348	128	239
349	128	239
350	128	238
351	129	237
352	129	237
353	129	236
354	129	235
355	130	235
356	130	234
357	130	233
358	130	233
359	130	232
360	131	231
361	131	231
362	131	230
363	131	229
364	131	229
365	132	228
366	132	228
367	132	227
368	132	226
369	132	226
370	132	225
371	133	224
372	133	224
373	133	223
374	133	222
375	133	222
376	134	221
377	134	221
378	134	220
379	134	219
380	134	218
381	135	218
382	135	217
383	135	217
384	135	216
385	135	216
386	136	215
387	136	214
388	136	214
389	136	213
390	136	213
391	136	212
392	137	211
393	137	211
394	137	210
395	137	210
396	138	209
397	138	209
398	138	208
399	138	208
400	138	207
401	139	206
402	139	206
403	139	205
404	139	205
405	139	204
406	139	203
407	140	203
408	140	202
409	140	202
410	140	201
411	140	201
412	141	200
413	141	199
414	141	199
415	141	198
416	141	198
417	142	197
418	142	197
419	142	196
420	142	196
421	142	195
422	143	195
423	143	194
424	143	194
425	143	193
426	143	192
427	144	192
428	144	192
429	144	191
430	144	191
431	144	190
432	145	190
433	145	189
434	145	188
435	145	188
436	145	187
437	146	187
438	146	186
439	146	186
440	146	185
441	146	185
442	146	184
443	147	184
444	147	183
445	147	183
446	147	182
447	147	182
448	147	181
449	148	181
450	148	180
451	148	180
452	148	179
453	148	179
454	149	178
455	149	178
456	149	177
457	149	177
458	149	176
459	150	176
460	150	175
461	150	175
462	150	174
463	150	174
464	151	173
465	151	173
466	151	172
467	151	172
468	151	171
469	151	171
470	152	170
471	152	170
472	152	169
473	152	169
474	152	168
475	153	168
476	153	167
477	153	167
478	153	167
479	153	166
480	153	166
481	154	165
482	154	165
483	154	164
484	154	164
485	154	163
486	155	163
487	155	162
488	155	162
489	155	161
490	155	161
491	156	161
492	156	160
493	156	160
494	156	159
495	156	159
496	156	158
497	157	158
498	157	158
499	157	157
500	157	157
501	157	156
502	158	156
503	158	155
504	158	155
505	158	154
506	158	154
507	158	153
508	159	153
509	159	153
510	159	152
511	159	152
512	159	151
513	160	151
514	160	151
515	160	150
516	160	150
517	160	149
518	161	149
519	161	148
520	161	148
521	161	148
522	162	147
523	162	147
524	162	146
525	162	146
526	162	146
527	162	145
528	163	145
529	163	144
530	163	144
531	163	143
532	163	143
533	164	143
534	164	142
535	164	142
536	164	141
537	164	141
538	164	141
539	165	140
540	165	140
541	165	139
542	165	139
543	165	139
544	166	138
545	166	138
546	166	137
547	166	137
548	166	137
549	166	136
550	167	136
551	167	135
552	167	135
553	168	135
554	168	134
555	168	134
556	168	134
557	168	133
558	169	133
559	169	132
560	169	132
561	169	132
562	169	131
563	169	131
564	170	131
565	170	130
566	170	130
567	170	129
568	170	129
569	171	129
570	171	128
571	171	128
572	171	127
573	171	127
574	172	127
575	172	126
576	172	126
577	172	126
578	172	125
579	173	125
580	173	124
581	173	124
582	173	124
583	173	123
584	173	123
585	174	122
586	174	122
587	174	122
588	174	121
589	174	121
590	175	121
591	175	120
592	175	120
593	175	119
594	175	119
595	175	119
596	176	118
597	176	118
598	176	118
599	176	117
600	177	117
601	177	117
602	177	116
603	177	116
604	177	115
605	177	115
606	178	115
607	178	114
608	178	114
609	178	114
610	178	113
611	178	113
612	179	113
613	179	112
614	179	112
615	179	112
616	179	111
617	180	111
618	180	110
619	180	110
620	180	110
621	180	109
622	180	109
623	181	109
624	181	108
625	181	108
626	181	108
627	181	107
628	182	107
629	182	107
630	182	106
631	182	106
632	182	106
633	183	105
634	183	105
635	183	105
636	183	104
637	183	104
638	184	103
639	184	103
640	184	103
641	184	102
