Catalyst,f4,f5,f6,f7,f8,f9,t
3,5.5,0.2,0,40.0,5.0,0,0.0
3,5.5,0.2,0,40.0,5.0,30,12.95
3,5.5,0.2,0,40.0,5.0,60,36.68
3,5.5,0.2,0,40.0,5.0,90,55.21
3,5.5,0.2,0,40.0,5.0,120,68.47
3,5.5,0.2,0,40.0,5.0,150,79.87
3,5.5,0.2,0,40.0,5.0,180,85.24
3,5.5,1.0,0,40.0,5.0,0,0.0
3,5.5,1.0,0,40.0,5.0,30,14.85
3,5.5,1.0,0,40.0,5.0,60,24.88
3,5.5,1.0,0,40.0,5.0,90,32.94
3,5.5,1.0,0,40.0,5.0,120,44.82
3,5.5,1.0,0,40.0,5.0,150,58.26
3,5.5,1.0,0,40.0,5.0,180,62.13
3,5.5,2.0,0,40.0,5.0,0,0.0
3,5.5,2.0,0,40.0,5.0,30,14.46
3,5.5,2.0,0,40.0,5.0,60,15.1
3,5.5,2.0,0,40.0,5.0,90,15.93
3,5.5,2.0,0,40.0,5.0,120,16.79
3,5.5,2.0,0,40.0,5.0,150,18.94
3,5.5,2.0,0,40.0,5.0,180,19.4
3,5.5,0.2,0,20.0,5.0,0,0.0
3,5.5,0.2,0,20.0,5.0,30,21.14
3,5.5,0.2,0,20.0,5.0,60,42.21
3,5.5,0.2,0,20.0,5.0,90,60.75
3,5.5,0.2,0,20.0,5.0,120,67.96
3,5.5,0.2,0,20.0,5.0,150,77.88
3,5.5,0.2,0,20.0,5.0,180,80.38
3,5.5,0.2,0,40.0,5.0,0,0.0
3,5.5,0.2,0,40.0,5.0,30,12.58
3,5.5,0.2,0,40.0,5.0,60,33.1
3,5.5,0.2,0,40.0,5.0,90,42.68
3,5.5,0.2,0,40.0,5.0,120,54.85
3,5.5,0.2,0,40.0,5.0,150,64.64
3,5.5,0.2,0,40.0,5.0,180,72.94
3,5.5,0.2,0,60.0,5.0,0,0.0
3,5.5,0.2,0,60.0,5.0,30,8.96
3,5.5,0.2,0,60.0,5.0,60,24.47
3,5.5,0.2,0,60.0,5.0,90,37.09
3,5.5,0.2,0,60.0,5.0,120,45.96
3,5.5,0.2,0,60.0,5.0,150,54.79
3,5.5,0.2,0,60.0,5.0,180,62.46
3,5.5,0.2,0,40.0,0.5,0,0.0
3,5.5,0.2,0,40.0,0.5,30,12.35
3,5.5,0.2,0,40.0,0.5,60,17.63
3,5.5,0.2,0,40.0,0.5,90,21.44
3,5.5,0.2,0,40.0,0.5,120,24.64
3,5.5,0.2,0,40.0,0.5,150,26.91
3,5.5,0.2,0,40.0,0.5,180,29.19
3,5.5,0.2,0,40.0,2.0,0,0.0
3,5.5,0.2,0,40.0,2.0,30,11.27
3,5.5,0.2,0,40.0,2.0,60,18.12
3,5.5,0.2,0,40.0,2.0,90,22.68
3,5.5,0.2,0,40.0,2.0,120,27.07
3,5.5,0.2,0,40.0,2.0,150,33.53
3,5.5,0.2,0,40.0,2.0,180,41.01
3,5.5,0.2,0,40.0,5.0,0,0.0
3,5.5,0.2,0,40.0,5.0,30,12.58
3,5.5,0.2,0,40.0,5.0,60,33.1
3,5.5,0.2,0,40.0,5.0,90,42.68
3,5.5,0.2,0,40.0,5.0,120,54.85
3,5.5,0.2,0,40.0,5.0,150,64.64
3,5.5,0.2,0,40.0,5.0,180,72.94
2,5.5,0.2,0,40.0,5.0,0,0.0
2,5.5,0.2,0,40.0,5.0,30,12.95
2,5.5,0.2,0,40.0,5.0,60,36.69
2,5.5,0.2,0,40.0,5.0,90,55.21
2,5.5,0.2,0,40.0,5.0,120,68.47
2,5.5,0.2,0,40.0,5.0,150,79.88
2,5.5,0.2,0,40.0,5.0,180,85.25
2,5.5,1.0,0,40.0,5.0,0,0.0
2,5.5,1.0,0,40.0,5.0,30,14.86
2,5.5,1.0,0,40.0,5.0,60,35.68
2,5.5,1.0,0,40.0,5.0,90,47.07
2,5.5,1.0,0,40.0,5.0,120,57.34
2,5.5,1.0,0,40.0,5.0,150,68.65
2,5.5,1.0,0,40.0,5.0,180,75.04
2,5.5,2.0,0,40.0,5.0,0,0.0
2,5.5,2.0,0,40.0,5.0,30,17.47
2,5.5,2.0,0,40.0,5.0,60,33.0
2,5.5,2.0,0,40.0,5.0,90,41.34
2,5.5,2.0,0,40.0,5.0,120,49.11
2,5.5,2.0,0,40.0,5.0,150,65.06
2,5.5,2.0,0,40.0,5.0,180,70.68
2,5.5,0.2,0,20.0,5.0,0,0.0
2,5.5,0.2,0,20.0,5.0,30,35.1
2,5.5,0.2,0,20.0,5.0,60,54.33
2,5.5,0.2,0,20.0,5.0,90,67.8
2,5.5,0.2,0,20.0,5.0,120,77.41
2,5.5,0.2,0,20.0,5.0,150,82.19
2,5.5,0.2,0,20.0,5.0,180,87.02
2,5.5,0.2,0,40.0,5.0,0,0.0
2,5.5,0.2,0,40.0,5.0,30,12.95
2,5.5,0.2,0,40.0,5.0,60,36.69
2,5.5,0.2,0,40.0,5.0,90,55.21
2,5.5,0.2,0,40.0,5.0,120,68.47
2,5.5,0.2,0,40.0,5.0,150,79.88
2,5.5,0.2,0,40.0,5.0,180,85.25
2,5.5,0.2,0,60.0,5.0,0,0.0
2,5.5,0.2,0,60.0,5.0,30,5.08
2,5.5,0.2,0,60.0,5.0,60,21.65
2,5.5,0.2,0,60.0,5.0,90,34.23
2,5.5,0.2,0,60.0,5.0,120,44.92
2,5.5,0.2,0,60.0,5.0,150,55.07
2,5.5,0.2,0,60.0,5.0,180,62.13
2,5.5,0.2,0,40.0,0.5,0,0.0
2,5.5,0.2,0,40.0,0.5,30,11.18
2,5.5,0.2,0,40.0,0.5,60,17.82
2,5.5,0.2,0,40.0,0.5,90,20.01
2,5.5,0.2,0,40.0,0.5,120,26.85
2,5.5,0.2,0,40.0,0.5,150,30.54
2,5.5,0.2,0,40.0,0.5,180,31.69
2,5.5,0.2,0,40.0,2.0,0,0.0
2,5.5,0.2,0,40.0,2.0,30,15.08
2,5.5,0.2,0,40.0,2.0,60,28.35
2,5.5,0.2,0,40.0,2.0,90,31.93
2,5.5,0.2,0,40.0,2.0,120,34.1
2,5.5,0.2,0,40.0,2.0,150,37.31
2,5.5,0.2,0,40.0,2.0,180,41.41
2,5.5,0.2,0,40.0,5.0,0,0.0
2,5.5,0.2,0,40.0,5.0,30,12.95
2,5.5,0.2,0,40.0,5.0,60,36.69
2,5.5,0.2,0,40.0,5.0,90,55.21
2,5.5,0.2,0,40.0,5.0,120,68.47
2,5.5,0.2,0,40.0,5.0,150,79.88
2,5.5,0.2,0,40.0,5.0,180,85.25
3,2.0,0.2,10,0.0,0.5,0,0.0
3,2.0,0.2,10,0.0,0.5,20,15.88
3,2.0,0.2,10,0.0,0.5,40,25.78
3,2.0,0.2,10,0.0,0.5,60,35.53
3,2.0,0.2,10,0.0,0.5,80,48.65
3,2.0,0.2,10,0.0,0.5,100,53.64
3,2.0,0.2,10,0.0,0.5,120,63.15
3,2.0,0.2,10,0.0,0.5,140,67.6
3,2.0,0.2,10,0.0,0.5,160,72.05
3,2.0,0.2,10,0.0,0.5,180,72.67
3,2.0,0.2,10,0.0,0.5,200,73.28
3,3.0,0.2,10,0.0,0.5,0,0.0
3,3.0,0.2,10,0.0,0.5,20,37.56
3,3.0,0.2,10,0.0,0.5,40,46.39
3,3.0,0.2,10,0.0,0.5,60,52.93
3,3.0,0.2,10,0.0,0.5,80,59.19
3,3.0,0.2,10,0.0,0.5,100,64.43
3,3.0,0.2,10,0.0,0.5,120,67.47
3,3.0,0.2,10,0.0,0.5,140,70.97
3,3.0,0.2,10,0.0,0.5,160,76.22
3,3.0,0.2,10,0.0,0.5,180,77.78
3,3.0,0.2,10,0.0,0.5,200,80.82
3,5.0,0.2,10,0.0,0.5,0,0.0
3,5.0,0.2,10,0.0,0.5,20,4.78
3,5.0,0.2,10,0.0,0.5,40,9.02
